8103;
4874;
13780;
217;
1129381888;
5211;11;
5298;79;
5326;78;
5369;79;
5419;79;
5527;79;
5562;78;
5642;79;
5678;79;
5706;79;
5708;78;
5717;79;
5712;79;
5753;78;
5850;79;
5928;79;
6112;79;
6190;79;
6235;78;
6243;79;
6267;79;
6269;79;
6378;78;
6411;79;
6539;79;
6635;79;
6702;78;
6758;79;
6765;79;
6818;79;
6911;79;
7035;79;
7173;79;
7335;79;
7383;79;
7477;79;
7475;79;
7494;79;
7539;79;
7636;79;
7687;79;
7827;79;
7906;79;
7878;79;
7884;79;
7866;79;
7838;79;
7798;79;
7773;79;
7702;79;
7684;79;
7687;79;
7679;78;
7665;80;
7669;78;
7684;80;
7713;78;
7785;79;
7906;80;
7907;78;
7880;80;
7888;78;
7886;80;
7872;79;
7839;79;
7803;79;
7765;78;
7748;79;
7725;79;
7736;79;
7752;79;
7786;79;
7782;79;
7790;79;
7795;79;
7829;79;
7922;79;
7907;80;
7899;78;
7851;80;
7827;78;
7822;79;
7808;80;
7798;79;
7752;79;
7755;79;
7747;79;
7780;79;
7803;79;
7815;79;
7871;79;
7875;79;
7986;80;
8082;79;
8072;79;
8062;79;
7998;79;
8002;80;
7965;79;
7978;79;
7853;79;
7722;80;
7768;79;
7757;79;
7794;79;
7806;80;
7821;79;
7824;79;
7768;80;
7729;79;
7639;79;
7614;80;
7481;79;
7424;80;
7302;79;
7283;79;
7195;80;
7184;80;
7184;79;
7127;80;
7019;79;
7058;80;
7015;80;
6899;79;
6927;80;
6849;79;
6852;80;
6829;80;
6913;79;
6832;80;
6871;80;
6889;79;
6807;80;
6816;80;
6735;79;
6599;80;
6543;80;
6522;80;
6524;80;
6521;79;
6534;80;
6439;80;
6403;80;
6176;80;
6108;80;
6024;80;
6038;79;
6041;80;
6047;80;
5926;80;
5768;80;
5489;80;
5386;80;
5250;80;
5251;80;
5220;80;
5231;80;
5162;80;
5056;80;
4917;81;
4927;79;
4973;81;
4982;79;
5015;80;
4993;80;
5010;80;
5024;80;
5062;79;
5087;80;
5062;80;
5044;80;
4995;80;
4999;79;
4994;80;
4994;80;
4981;79;
4973;80;
4985;80;
4996;79;
5025;80;
5027;79;
5035;80;
5032;79;
5026;80;
5023;79;
5016;79;
5008;80;
4981;79;
4975;79;
4967;80;
4974;79;
4982;79;
4986;80;
4996;79;
5004;79;
5018;79;
5026;79;
5036;79;
5032;79;
5021;79;
5019;79;
5007;80;
5001;78;
4994;80;
4993;78;
4990;80;
4991;79;
5001;79;
5006;78;
5017;79;
5024;79;
5020;79;
5019;79;
5011;79;
5022;79;
5069;78;
5141;79;

