1715762049;
26985;
7694;
1074;
13790;
1666;
4;1943;
17;1953;
39;1973;
70;2014;
109;2075;
157;2510;
213;2711;
278;2810;
351;2917;
433;3153;
522;3359;
620;3507;
725;3651;
838;3828;
958;3848;
1085;4392;
1220;4848;
1361;4996;
1509;5205;
1663;5528;
1823;5706;
1989;6065;
2161;6667;
2338;7167;
2520;7536;
2706;7682;
2898;7694;
3093;7548;
3293;7315;
3496;7170;
3702;6987;
3912;6932;
4124;6944;
4339;6968;
4555;7083;
4774;7155;
4994;7248;
5216;7252;
5439;7257;
5662;7233;
5886;7141;
6110;7104;
6334;7036;
6557;7031;
6780;7078;
7002;7077;
7223;7141;
7443;7191;
7661;7208;
7877;7216;
8091;7167;
8303;7121;
8513;7085;
8719;7046;
8923;7014;
9125;7019;
9322;7073;
9517;7100;
9708;7114;
9896;7158;
10079;7148;
10259;7111;
10435;7075;
10607;7053;
10775;7034;
10939;6997;
11098;6998;
11252;7039;
11403;7060;
11548;7097;
11689;7141;
11826;7145;
11958;7185;
12085;7148;
12207;7106;
12324;7094;
12437;7058;
12545;7053;
12648;7075;
12746;7123;
12840;7133;
12928;7104;
13012;7106;
13091;7075;
13165;7072;
13234;7024;
13298;6975;
13358;6946;
13412;6913;
13462;6885;
13507;6854;
13548;6847;
13583;6878;
13614;6859;
13640;6861;
13662;6781;
13678;6767;
13690;6766;
13697;6743;
13700;6764;
13836;6789;
13830;6845;
13819;6864;
13804;6871;
13784;6834;
13759;6793;
13730;6667;
13695;6497;
13656;6291;
13612;6055;
13563;5919;
13509;5737;
13451;5446;
13388;5251;
13320;5135;
13247;5076;
13169;4868;
13086;4722;
12998;4363;
12906;4273;
12808;4290;
12706;4251;
12599;4289;
12487;4292;
12370;4299;
12248;4301;
12121;4238;
11990;4110;
11854;4027;
11713;3874;
11568;3726;
11418;3595;
11263;3542;
11104;3398;
10941;3061;
10773;2725;
10601;2516;
10425;2254;
10245;2058;
10061;1813;
9873;1487;
9681;1275;
9486;1074;
9287;1137;
9086;1201;
8881;1218;
8673;1227;
8463;1363;
8250;1490;
8035;1489;
7817;1434;
7598;1434;
7377;1424;
7155;1397;
6931;1331;
6706;1281;
6481;1271;
6255;1280;
6030;1254;
5804;1263;
5578;1309;
5353;1309;
5129;1365;
4907;1368;
4686;1378;
4466;1365;
4249;1371;
4034;1400;
3822;1382;
3612;1382;
3406;1371;
3204;1429;
3005;1436;
2810;1421;
2620;1453;
2435;1479;
2255;1475;
2079;1496;
1910;1535;
1746;1541;
1588;1572;
1436;1586;
1291;1594;
1153;1628;
1022;1616;
898;1647;
781;1672;
671;1698;
570;1710;
476;1720;
391;1742;
313;1751;
244;1788;
183;1798;
131;1822;
87;1871;
52;1847;
26;1892;
8;1927;
0;1938;

