1711440450;
4369;
7982;
4980;
13780;
1724;
4;5349;
17;5435;
39;5484;
70;5529;
109;5610;
157;5697;
213;5728;
278;5752;
351;5748;
433;5761;
522;5759;
620;5844;
725;5965;
838;6044;
958;6152;
1085;6212;
1220;6238;
1361;6250;
1509;6302;
1663;6366;
1823;6459;
1989;6547;
2161;6590;
2338;6614;
2520;6721;
2706;6807;
2898;6904;
3093;7040;
3293;7220;
3496;7264;
3702;7301;
3912;7378;
4124;7422;
4339;7468;
4555;7568;
4774;7670;
4994;7760;
5216;7767;
5439;7833;
5662;7851;
5886;7827;
6110;7801;
6334;7771;
6557;7722;
6780;7670;
7002;7637;
7223;7646;
7443;7652;
7661;7641;
7877;7634;
8091;7655;
8303;7700;
8513;7849;
8719;7868;
8923;7818;
9125;7820;
9322;7841;
9517;7836;
9708;7780;
9896;7748;
10079;7710;
10259;7720;
10435;7725;
10607;7711;
10775;7713;
10939;7755;
11098;7770;
11252;7876;
11403;7875;
11548;7865;
11689;7843;
11826;7826;
11958;7810;
12085;7781;
12207;7727;
12324;7714;
12437;7706;
12545;7713;
12648;7713;
12746;7728;
12840;7749;
12928;7810;
13012;7897;
13091;7927;
13165;7960;
13234;7965;
13298;7982;
13358;7971;
13412;7908;
13462;7805;
13507;7763;
13548;7717;
13583;7764;
13614;7781;
13640;7814;
13662;7846;
13678;7860;
13690;7871;
13697;7878;
13700;7855;
13836;7757;
13830;7694;
13819;7610;
13804;7541;
13784;7427;
13759;7326;
13730;7297;
13695;7263;
13656;7123;
13612;7073;
13563;7087;
13509;7018;
13451;6963;
13388;6909;
13320;6843;
13247;6831;
13169;6838;
13086;6843;
12998;6854;
12906;6871;
12808;6830;
12706;6765;
12599;6591;
12487;6510;
12370;6521;
12248;6551;
12121;6534;
11990;6528;
11854;6493;
11713;6390;
11568;6124;
11418;6072;
11263;6069;
11104;6038;
10941;6045;
10773;6033;
10601;5827;
10425;5607;
10245;5376;
10061;5375;
9873;5345;
9681;5351;
9486;5339;
9287;5324;
9086;5001;
8881;4980;
8673;4995;
8463;5038;
8250;5032;
8035;5048;
7817;5050;
7598;5088;
7377;5161;
7155;5162;
6931;5134;
6706;5100;
6481;5081;
6255;5083;
6030;5072;
5804;5033;
5578;5016;
5353;5028;
5129;5061;
4907;5077;
4686;5077;
4466;5085;
4249;5096;
4034;5093;
3822;5093;
3612;5073;
3406;5048;
3204;5025;
3005;5030;
2810;5025;
2620;5036;
2435;5038;
2255;5047;
2079;5071;
1910;5093;
1746;5089;
1588;5094;
1436;5092;
1291;5085;
1153;5088;
1022;5078;
898;5061;
781;5055;
671;5061;
570;5061;
476;5068;
391;5072;
313;5080;
244;5100;
183;5106;
131;5098;
87;5088;
52;5089;
26;5112;
8;5202;
0;5266;

