1715663141;
26985;
8137;
1674;
13790;
1665;
4;2626;
17;2624;
39;2631;
70;2682;
109;2946;
157;3131;
213;3250;
278;3408;
351;3483;
433;3804;
522;3944;
620;4154;
725;4241;
838;4377;
958;4669;
1085;4935;
1220;5470;
1361;5618;
1509;5848;
1663;6109;
1823;6388;
1989;6856;
2161;7338;
2338;7745;
2520;8037;
2706;8137;
2898;8086;
3093;8010;
3293;7816;
3496;7609;
3702;7449;
3912;7355;
4124;7381;
4339;7469;
4555;7549;
4774;7616;
4994;7721;
5216;7740;
5439;7712;
5662;7678;
5886;7616;
6110;7565;
6334;7527;
6557;7525;
6780;7551;
7002;7558;
7223;7612;
7443;7644;
7661;7644;
7877;7650;
8091;7646;
8303;7610;
8513;7508;
8719;7480;
8923;7466;
9125;7473;
9322;7519;
9517;7548;
9708;7580;
9896;7661;
10079;7627;
10259;7548;
10435;7497;
10607;7483;
10775;7480;
10939;7423;
11098;7429;
11252;7456;
11403;7510;
11548;7534;
11689;7582;
11826;7592;
11958;7629;
12085;7595;
12207;7536;
12324;7524;
12437;7468;
12545;7466;
12648;7473;
12746;7532;
12840;7510;
12928;7556;
13012;7546;
13091;7524;
13165;7529;
13234;7503;
13298;7412;
13358;7352;
13412;7371;
13462;7374;
13507;7338;
13548;7374;
13583;7357;
13614;7352;
13640;7298;
13662;7269;
13678;7257;
13690;7243;
13697;7231;
13700;7218;
13836;7242;
13830;7293;
13819;7306;
13804;7303;
13784;7286;
13759;7242;
13730;7172;
13695;7021;
13656;6701;
13612;6466;
13563;6400;
13509;6194;
13451;5938;
13388;5822;
13320;5708;
13247;5480;
13169;5270;
13086;5196;
12998;5013;
12906;4928;
12808;4802;
12706;4802;
12599;4860;
12487;4839;
12370;4867;
12248;4862;
12121;4811;
11990;4719;
11854;4649;
11713;4578;
11568;4450;
11418;4369;
11263;4287;
11104;4134;
10941;3876;
10773;3605;
10601;3359;
10425;3037;
10245;2818;
10061;2657;
9873;2499;
9681;2031;
9486;1766;
9287;1674;
9086;1779;
8881;1790;
8673;1817;
8463;1870;
8250;2094;
8035;2193;
7817;2148;
7598;2116;
7377;2121;
7155;2130;
6931;1997;
6706;1972;
6481;1927;
6255;1932;
6030;1907;
5804;1892;
5578;1936;
5353;1931;
5129;2036;
4907;2038;
4686;2043;
4466;2028;
4249;2019;
4034;2057;
3822;2048;
3612;2031;
3406;2024;
3204;2072;
3005;2045;
2810;2050;
2620;2065;
2435;2109;
2255;2116;
2079;2133;
1910;2193;
1746;2164;
1588;2203;
1436;2230;
1291;2225;
1153;2300;
1022;2252;
898;2279;
781;2281;
671;2323;
570;2335;
476;2357;
391;2391;
313;2402;
244;2424;
183;2444;
131;2502;
87;2497;
52;2548;
26;2558;
8;2589;
0;2587;

