8026;
4920;
13780;
218;
1129250816;
5282;65;
5312;79;
5333;78;
5391;79;
5460;79;
5547;79;
5587;78;
5634;79;
5666;79;
5663;79;
5680;78;
5680;79;
5720;79;
5839;78;
5911;79;
6049;79;
6129;79;
6180;78;
6193;79;
6219;79;
6231;79;
6312;78;
6412;79;
6470;79;
6567;79;
6605;79;
6708;78;
6767;79;
6791;79;
6887;79;
6997;79;
7119;79;
7272;79;
7307;79;
7395;79;
7449;79;
7475;79;
7503;78;
7581;80;
7621;79;
7728;79;
7830;79;
7933;79;
7903;79;
7904;79;
7887;79;
7852;79;
7823;79;
7773;79;
7718;79;
7700;79;
7718;79;
7705;79;
7684;79;
7688;78;
7711;79;
7756;79;
7862;79;
7922;80;
7889;78;
7876;80;
7897;79;
7880;79;
7853;79;
7823;79;
7792;78;
7763;79;
7752;79;
7735;79;
7740;79;
7758;79;
7794;79;
7794;79;
7799;79;
7788;79;
7813;79;
7899;79;
7894;80;
7863;78;
7843;80;
7801;79;
7807;79;
7796;78;
7788;80;
7748;79;
7755;79;
7741;79;
7775;79;
7790;79;
7826;79;
7863;79;
7882;79;
7967;80;
8016;79;
8044;79;
8026;79;
8000;80;
7960;79;
7942;79;
7956;79;
7859;79;
7796;80;
7783;79;
7781;79;
7803;80;
7836;79;
7828;79;
7830;80;
7771;79;
7694;79;
7628;80;
7537;79;
7455;79;
7338;80;
7310;79;
7271;80;
7246;79;
7144;80;
7090;79;
7026;80;
7004;79;
6999;80;
6995;79;
6942;80;
6859;80;
6841;79;
6843;80;
6891;80;
6926;79;
6886;80;
6864;79;
6854;80;
6840;80;
6717;80;
6576;80;
6586;79;
6577;80;
6589;80;
6592;80;
6547;79;
6511;80;
6427;80;
6208;80;
6034;80;
6044;80;
6066;79;
6087;80;
6088;80;
6074;80;
5766;80;
5633;80;
5249;80;
5246;80;
5283;80;
5294;80;
5309;80;
5303;80;
5249;80;
5021;80;
4902;80;
4938;80;
4952;80;
4954;80;
4940;80;
4940;80;
4966;80;
5027;80;
5089;79;
5103;80;
5085;80;
5066;80;
5056;80;
5047;79;
5034;80;
5000;80;
4967;79;
4960;80;
4966;80;
4979;79;
5003;80;
5008;79;
5013;80;
5020;79;
5031;79;
5033;80;
5031;79;
5019;80;
5000;79;
4993;79;
4984;80;
4982;79;
4984;79;
4982;79;
4989;80;
4996;79;
5014;79;
5018;79;
5032;79;
5032;79;
5029;79;
5027;79;
5022;80;
5019;79;
5009;79;
5000;79;
4994;79;
4991;79;
4995;79;
5002;78;
5009;79;
5013;79;
5017;79;
5020;79;
5023;79;
5032;79;
5061;79;
5128;78;
5196;79;

