7987;
4923;
13780;
217;
1129054208;
5249;6;
5301;79;
5347;79;
5389;78;
5427;79;
5528;79;
5571;79;
5640;78;
5672;79;
5674;79;
5674;79;
5685;78;
5678;79;
5801;79;
5839;78;
5956;79;
6078;79;
6196;79;
6197;78;
6203;79;
6213;79;
6240;79;
6354;78;
6372;79;
6495;79;
6541;79;
6602;78;
6704;79;
6731;79;
6760;79;
6895;79;
7011;79;
7217;79;
7248;79;
7312;79;
7370;79;
7423;78;
7458;80;
7538;79;
7606;79;
7757;79;
7790;79;
7789;79;
7869;79;
7869;79;
7869;79;
7844;79;
7792;79;
7754;79;
7692;79;
7683;79;
7677;79;
7672;79;
7658;79;
7646;79;
7670;79;
7686;78;
7771;79;
7870;79;
7897;80;
7879;79;
7862;79;
7881;79;
7852;79;
7829;79;
7778;79;
7755;78;
7729;79;
7714;79;
7734;79;
7732;79;
7753;79;
7756;79;
7764;79;
7781;79;
7813;79;
7917;79;
7881;79;
7859;80;
7828;78;
7821;79;
7814;80;
7785;78;
7777;80;
7722;79;
7732;79;
7737;79;
7763;79;
7770;79;
7775;79;
7838;79;
7857;79;
8052;80;
8066;79;
8065;79;
8067;79;
8026;79;
7988;80;
7966;79;
7981;79;
7901;79;
7699;80;
7708;79;
7707;79;
7758;79;
7775;80;
7790;79;
7789;79;
7774;80;
7674;79;
7642;79;
7560;80;
7479;79;
7375;79;
7283;80;
7238;80;
7164;79;
7135;80;
7056;79;
7051;80;
6914;79;
6929;80;
6913;79;
6919;80;
6903;79;
6857;80;
6861;80;
6867;79;
6954;80;
6919;80;
6865;79;
6793;80;
6738;80;
6660;79;
6674;80;
6645;80;
6613;80;
6601;79;
6596;80;
6587;80;
6486;80;
6298;80;
6240;79;
6243;80;
6253;80;
6232;80;
6168;80;
6018;80;
5828;80;
5657;80;
5494;80;
5493;80;
5499;80;
5497;80;
5495;80;
5426;80;
5271;80;
5005;80;
5005;81;
5018;80;
4960;80;
4961;80;
5006;79;
5043;80;
5099;80;
5107;80;
5108;80;
5087;80;
5082;79;
5076;80;
5056;80;
5025;80;
4970;80;
4965;79;
4955;80;
4975;80;
4991;79;
4998;80;
5014;79;
5025;80;
5049;79;
5055;80;
5059;79;
5049;79;
5026;80;
5018;79;
4994;80;
4990;79;
4973;79;
4973;80;
4972;79;
4979;79;
5002;79;
5011;80;
5030;79;
5033;79;
5037;79;
5041;79;
5042;79;
5033;79;
5022;80;
5006;79;
4997;79;
4990;79;
4990;79;
4994;79;
4995;79;
5004;79;
5012;78;
5030;79;
5043;79;
5042;79;
5036;79;
5027;79;
5036;79;
5102;79;
5150;78;

