1710922310;
4369;
8103;
4874;
13780;
1723;
4;5272;
17;5338;
39;5366;
70;5427;
109;5554;
157;5590;
213;5674;
278;5701;
351;5695;
433;5695;
522;5700;
620;5711;
725;5854;
838;5892;
958;6020;
1085;6161;
1220;6213;
1361;6224;
1509;6254;
1663;6317;
1823;6388;
1989;6441;
2161;6542;
2338;6570;
2520;6669;
2706;6755;
2898;6794;
3093;6898;
3293;7023;
3496;7270;
3702;7306;
3912;7336;
4124;7421;
4339;7455;
4555;7510;
4774;7577;
4994;7658;
5216;7831;
5439;7829;
5662;7874;
5886;7864;
6110;7853;
6334;7821;
6557;7795;
6780;7737;
7002;7681;
7223;7678;
7443;7677;
7661;7681;
7877;7660;
8091;7659;
8303;7693;
8513;7753;
8719;7883;
8923;7913;
9125;7878;
9322;7860;
9517;7878;
9708;7850;
9896;7832;
10079;7773;
10259;7735;
10435;7720;
10607;7748;
10775;7751;
10939;7771;
11098;7762;
11252;7788;
11403;7796;
11548;7903;
11689;7919;
11826;7873;
11958;7846;
12085;7843;
12207;7835;
12324;7816;
12437;7782;
12545;7743;
12648;7763;
12746;7783;
12840;7801;
12928;7795;
13012;7818;
13091;7855;
13165;8008;
13234;8103;
13298;8100;
13358;8067;
13412;8017;
13462;7967;
13507;7958;
13548;7994;
13583;7736;
13614;7726;
13640;7714;
13662;7766;
13678;7781;
13690;7813;
13697;7805;
13700;7782;
13836;7699;
13830;7654;
13819;7577;
13804;7475;
13784;7356;
13759;7293;
13730;7211;
13695;7182;
13656;7141;
13612;7062;
13563;6980;
13509;6896;
13451;6956;
13388;6953;
13320;6899;
13247;6865;
13169;6860;
13086;6891;
12998;6987;
12906;6869;
12808;6818;
12706;6779;
12599;6781;
12487;6678;
12370;6673;
12248;6604;
12121;6607;
11990;6620;
11854;6532;
11713;6382;
11568;6336;
11418;6245;
11263;6237;
11104;6136;
10941;6073;
10773;6026;
10601;5998;
10425;5756;
10245;5622;
10061;5575;
9873;5537;
9681;5473;
9486;5351;
9287;5259;
9086;5119;
8881;4983;
8673;4901;
8463;4874;
8250;4892;
8035;4922;
7817;4965;
7598;5007;
7377;5074;
7155;5103;
6931;5128;
6706;5119;
6481;5092;
6255;5056;
6030;5003;
5804;4959;
5578;4933;
5353;4932;
5129;4939;
4907;4960;
4686;4976;
4466;5009;
4249;5030;
4034;5046;
3822;5047;
3612;5037;
3406;5021;
3204;5011;
3005;4981;
2810;4962;
2620;4947;
2435;4946;
2255;4957;
2079;4972;
1910;4983;
1746;5004;
1588;5024;
1436;5028;
1291;5037;
1153;5029;
1022;5020;
898;5009;
781;4995;
671;4975;
570;4974;
476;4972;
391;4977;
313;4987;
244;4999;
183;5019;
131;5026;
87;5032;
52;5016;
26;5022;
8;5086;
0;5159;

